Descritpor,Yield Correlation
VSA_EState5_Sol,0.074365292
MinAbsEStateIndex_Sub,0.07426961
SMR_VSA5_Sub,0.074184896
Solv_Hbond_ac,0.073542293
HeavyAtomCount_Sub,0.0724821
EState_VSA7_Cat,0.071149685
Solution_vol_mL,0.07016365
Kappa1_Sol,0.070056205
SMR_VSA4_Cat,0.06959361
VSA_EState6_Sol,0.069278584
VSA_EState5_Cat,0.067687076
Oxidant_quant_mmol,0.067542795
MaxPartialCharge_Sol,0.066868139
Chi3n_Sub,0.065973177
SlogP_VSA10_Sub,0.06533664
Chi3v_Sub,0.06516624
HallKierAlpha_Cat,0.064644359
Chi1n_Sub,0.064264343
HeavyAtomMolWt_Sub,0.063558709
SMR_VSA4_Lig,0.063217173
BertzCT_Sol,0.06315647
Solv_opt_freq25,0.063113767
BalabanJ_Sol,0.063003436
NOCount_Cat,0.06278099
BertzCT_Cat,0.062182438
PEOE_VSA4_Lig,0.062105688
SlogP_VSA6_Cat,0.060578599
SlogP_VSA1_Lig,0.060505777
SlogP_VSA12_Lig,0.060372148
NumRotatableBonds_Sol,0.059825023
PEOE_VSA14_Sol,0.059825023
EState_VSA3_Sol,0.059825023
PEOE_VSA2_Sol,0.059825023
Solv_opt_freq20,0.059742401
MinAbsEStateIndex_Lig,0.059500497
SlogP_VSA8_Lig,0.059372121
EState_VSA3_Cat,0.058522996
SMR_VSA6_Cat,0.058001819
SMR_VSA9_Cat,0.058001819
SlogP_VSA11_Cat,0.058001819
NumAromaticRings_Cat,0.058001819
NumAromaticCarbocycles_Cat,0.058001819
BalabanJ_Cat,0.057515062
EState_VSA2_Cat,0.05751506
NumRotatableBonds_Cat,0.05751506
VSA_EState6_Cat,0.056976273
VSA_EState4_Cat,0.056594653
MolLogP_Sol,0.056506045
SlogP_VSA4_Lig,0.056058113
SlogP_VSA4_Cat,0.054954445
MolLogP_Lig,0.054501138
NumSaturatedRings_Lig,0.054380827
VSA_EState9_Lig,0.054209238
VSA_EState1_Lig,0.053907006
EState_VSA2_Sub,0.052686016
SMR_VSA3_Lig,0.051530247
Chi0v_Sol,0.051221128
Chi4v_Lig,0.050600323
SlogP_VSA2_Sub,0.050520071
PEOE_VSA8_Sol,0.050130987
Chi1_Sub,0.04958212
VSA_EState7_Cat,0.047997143
EState_VSA4_Cat,0.047763816
Chi4n_Lig,0.047114346
EState_VSA5_Sub,0.046833028
VSA_EState9_Sub,0.045734916
VSA_EState4_Sol,0.044786478
SMR_VSA7_Sol,0.044786478
NumAromaticRings_Sol,0.044786478
NumAromaticCarbocycles_Sol,0.044786478
EState_VSA7_Sol,0.044786478
Solv_aromcity,0.044786478
SlogP_VSA6_Sol,0.044786478
PEOE_VSA10_Sol,0.044452844
SlogP_VSA6_Lig,0.043354754
EState_VSA8_Sol,0.043048935
PEOE_VSA10_Sub,0.042763275
Chi3v_Lig,0.042697447
PEOE_VSA12_Lig,0.042665791
SlogP_VSA3_Cat,0.041898546
EState_VSA8_Cat,0.039618632
Chi3n_Lig,0.039139022
EState_VSA6_Sub,0.038245642
SMR_VSA1_Sol,0.03789199
VSA_EState10_Lig,0.037872896
Solvent_Group,0.037610703
NumAliphaticCarbocycles_Sub,0.036068628
NumAromaticRings_Sub,0.036005402
NumAliphaticRings_Lig,0.035513987
VSA_EState7_Sub,0.035444498
VSA_EState6_Sub,0.034767603
HallKierAlpha_Lig,0.034043403
PEOE_VSA8_Lig,0.033580955
Chi0n_Sol,0.033363531
NumSaturatedCarbocycles_Sub,0.032017592
NumSaturatedRings_Sub,0.032017592
Chi1v_Lig,0.031104892
Kappa2_Sol,0.031099634
VSA_EState3_Lig,0.03106966
PEOE_VSA6_Sol,0.031040844
SMR_VSA6_Lig,0.030100262
PEOE_VSA1_Sol,0.02968996
VSA_EState6_Lig,0.029388165
Chi1n_Lig,0.028593504
Chi0v_Lig,0.027840828
PEOE_VSA9_Lig,0.027835101
MaxAbsEStateIndex_Sol,0.02758291
MaxEStateIndex_Sol,0.02758291
Kappa3_Sol,0.02732198
Chi0n_Lig,0.026485646
MinPartialCharge_Sub,0.026374359
PEOE_VSA5_Sub,0.026153031
MaxAbsPartialCharge_Sub,0.026081041
PEOE_VSA1_Lig,0.024996295
EState_VSA3_Lig,0.024888112
Chi2v_Lig,0.024451048
NumValenceElectrons_Sol,0.024437326
MolMR_Lig,0.023927122
Chi2n_Sol,0.023445271
NHOHCount_Sol,0.022777736
MolMR_Sol,0.021499985
Chi2n_Lig,0.020920425
EState_VSA1_Sub,0.020692154
PEOE_VSA3_Lig,0.020646231
NHOHCount_Lig,0.020486807
BertzCT_Lig,0.019950639
Chi1n_Sol,0.018654163
NumAromaticRings_Lig,0.018341365
PEOE_VSA7_Sol,0.018055948
SMR_VSA10_Sub,0.017669664
Kappa1_Lig,0.017588881
NumAliphaticHeterocycles_Cat,0.01741595
NumAliphaticRings_Cat,0.01741595
SMR_VSA3_Cat,0.017281643
SlogP_VSA1_Cat,0.017281643
SlogP_VSA4_Sub,0.017204538
NumValenceElectrons_Lig,0.016915523
VSA_EState10_Sub,0.016645413
SlogP_VSA12_Sub,0.016645413
MaxEStateIndex_Lig,0.016607076
MaxAbsEStateIndex_Lig,0.016607076
PEOE_VSA4_Sub,0.014328127
MolWt_Lig,0.014294201
Kappa2_Lig,0.013551061
Chi0_Lig,0.013382168
VSA_EState2_Sol,0.012333279
Chi1_Lig,0.012050966
HeavyAtomCount_Lig,0.011994531
MinAbsPartialCharge_Sol,0.011456158
SlogP_VSA11_Lig,0.01109289
HeavyAtomMolWt_Lig,0.010944165
EState_VSA10_Sol,0.010889808
HeavyAtomCount_Sol,0.010767827
NumAromaticCarbocycles_Lig,0.010486894
EState_VSA8_Sub,0.010466366
Chi3v_Sol,0.00990295
Chi3n_Sol,0.00990295
Chi4n_Sub,0.009536957
SMR_VSA6_Sub,0.009342106
Chi4v_Sub,0.009074445
Solv_surf_tens,0.00855534
TPSA_Sub,0.008546639
MinPartialCharge_Sol,0.008456536
PEOE_VSA14_Lig,0.007607041
MinEStateIndex_Lig,0.007593861
MaxPartialCharge_Lig,0.007478468
Chi1_Sol,0.007194882
SlogP_VSA2_Cat,0.006973026
Chi4n_Sol,0.006966738
Chi4v_Sol,0.006966738
NumHDonors_Lig,0.006669525
MinAbsPartialCharge_Lig,0.005623811
NumRotatableBonds_Lig,0.005170862
Chi0_Sol,0.005043298
PEOE_VSA5_Lig,0.004788826
NumHAcceptors_Cat,0.003773572
SlogP_VSA8_Sub,0.00309132
PEOE_VSA9_Sol,0.003053768
HallKierAlpha_Sub,0.002976343
PEOE_VSA6_Lig,0.002863209
MaxAbsPartialCharge_Sol,0.002857851
Kappa3_Lig,0.002700569
SMR_VSA4_Sub,0.001559143
SMR_VSA7_Lig,0.001383493
BertzCT_Sub,0.000815491
SlogP_VSA7_Lig,0.000424411
EState_VSA9_Lig,0.000385703
NumAromaticCarbocycles_Sub,0.000320608
Additive_quant_mL,
EState_VSA11_Cat,
EState_VSA11_Sub,
EState_VSA11_Sol,
EState_VSA5_Cat,
MaxAbsPartialCharge_Cat,
MaxPartialCharge_Cat,
MinAbsPartialCharge_Cat,
MinPartialCharge_Cat,
NumAliphaticCarbocycles_Cat,
NumAliphaticCarbocycles_Sol,
NumAromaticHeterocycles_Cat,
NumAromaticHeterocycles_Sol,
NumHDonors_Sol,
NumRadicalElectrons_Cat,
NumRadicalElectrons_Sub,
NumRadicalElectrons_Sol,
NumRadicalElectrons_Lig,
NumSaturatedCarbocycles_Cat,
NumSaturatedCarbocycles_Sol,
NumSaturatedHeterocycles_Cat,
NumSaturatedHeterocycles_Sub,
NumSaturatedRings_Cat,
PEOE_VSA1_Cat,
PEOE_VSA10_Cat,
PEOE_VSA11_Cat,
PEOE_VSA12_Cat,
PEOE_VSA12_Sol,
PEOE_VSA13_Cat,
PEOE_VSA13_Sub,
PEOE_VSA13_Sol,
PEOE_VSA2_Cat,
PEOE_VSA3_Cat,
PEOE_VSA3_Sol,
PEOE_VSA4_Cat,
PEOE_VSA5_Cat,
PEOE_VSA6_Cat,
PEOE_VSA7_Cat,
PEOE_VSA8_Cat,
PEOE_VSA9_Cat,
SMR_VSA2_Cat,
SMR_VSA2_Sub,
SMR_VSA2_Lig,
SMR_VSA3_Sol,
SMR_VSA4_Sol,
SMR_VSA8_Cat,
SMR_VSA8_Sub,
SMR_VSA8_Sol,
SMR_VSA8_Lig,
SlogP_VSA1_Sol,
SlogP_VSA10_Cat,
SlogP_VSA10_Sol,
SlogP_VSA10_Lig,
SlogP_VSA11_Sol,
SlogP_VSA12_Cat,
SlogP_VSA7_Cat,
SlogP_VSA7_Sub,
SlogP_VSA7_Sol,
SlogP_VSA8_Cat,
SlogP_VSA8_Sol,
SlogP_VSA9_Cat,
SlogP_VSA9_Sub,
SlogP_VSA9_Sol,
SlogP_VSA9_Lig,
VSA_EState2_Cat,
VSA_EState3_Cat,
VSA_EState9_Sol,
